,recall
0,59.419291128808815
1,60.09917660682443
2,63.7898819968883
3,56.22588964115971
4,58.655574421528996
5,65.74002372850049
6,58.342272963007694
7,61.07531312384999
8,63.68473774323489
9,60.56024836777755
10,61.62234741650623
11,65.07505736755732
12,57.43291725573498
13,59.36245639710427
14,55.77618482654751
15,56.311852172862835
16,57.18852790940544
17,64.08044956272778
18,58.08438536789832
19,58.53693191909576
20,60.98792972385425
21,59.29425471905882
22,58.68115005079604
23,60.45652498241675
24,59.337591201983535
25,57.727036992306
26,61.09307397750766
27,59.43278937758864
28,58.92269766054036
29,57.934483763027586
30,56.16550273872363
31,61.65644825552896
32,60.86076201166533
33,60.05797142633863
34,62.60416740670224
35,55.815969138740684
36,57.27804261184009
37,63.28689462130308
38,57.57571451914265
39,59.19337307028325
40,59.93790805561279
41,62.75477944571928
42,59.58269098245938
43,55.31369219730177
44,52.649564148651244
45,61.90367933844372
46,64.10815649443374
47,61.334621587251966
48,61.13641046043237
49,58.27904432398639
50,64.17209556760136
51,61.111545265311634
52,59.92298893854034
53,63.48865791885421
54,61.28133902627896
55,60.02458102146222
56,62.955832309124105
57,59.79582122635142
58,60.625608309237776
59,61.83192548966674
60,62.155173026236334
61,58.64065530445655
62,62.996327055463595
63,57.60413188499492
64,62.054291377460764
65,58.52201280202332
66,57.85633600693384
67,58.89783246541962
68,60.34853899217812
69,63.28476331886416
70,61.5051257823656
71,61.529280543340036
72,59.54077536782728
73,62.2141390603798
74,57.84638992888554
75,54.0853515583373
76,59.56279882636279
77,61.61027003601901
78,61.69339083113691
79,65.21217115779453
80,59.87965245561563
81,59.10812097272643
82,60.391875475102836
83,59.076151436142624
84,62.133860001847125
85,64.17209556760136
86,54.306296577838715
87,64.79443587976613
88,55.849359543617105
89,54.9932863973174
90,59.837736840983524
91,61.69765343601475
92,56.31327304115545
93,59.802215133668184
94,60.68670564582016
95,64.38238407490817
96,61.492337967732084
97,61.493758836024696
98,59.594768362946596
99,63.06168699692382
